Timestamp,1) How old are you?,2) What gender are you?,3) What technology do you own that involves screens/monitors?,"4) Would you say, you are comfortable with using technology?","5) With all the technology you own, collectively, how much time do you spend on it each day on average?",6) What is your main purpose of using screen technology?,7) Would you say that screen technology made our lives way easier?,"8) Did screen technology affect your sleep quality and patterns? If so, was it in a positive or negative way?","9) Have you noticed any impact on your physical health from the use of screen technology? (e.g. eye strain, headaches etc..)","10) Has screen technology usage has an impact on your social relationships, or sense of community?","11) Did screen technology use affected your productivity or ability to focus? If so, was it in a positive or negative way?","12) How does screen technology usage impacts your mental health and well-being?  If so, is it in a positive or negative way?","13) Do you feel like you have control over your screen technology usage? Or perhaps, it controls you instead?",14) Do you believe there are any long-term effects of screen technology use that have not yet been discovered?,15) In what ways do you think screen technology has positively or negatively impacted society as a whole? (Leave blank if no answer),16) What changes would you like to see in the way screen technology is designed or used in the future? (Leave blank if no answer)
2023/04/24 10:45:49 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,No,Maybe,Somewhat negatively,Somewhat negatively,It controls me,Maybe,,"More affordable? Everyone owns a phone nowadays, therefore it shouldn't cost a lot of money. blue light is also a problem, i have heard that too much of it can negatively impact you, maybe we need more recognition about it and prevention, such as blue-light filter glasses promotion"
2023/04/24 10:46:52 PM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop",Extremely comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Maybe,Very negatively,Somewhat negatively,It controls me,Maybe,,
2023/04/24 10:47:31 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Very comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Job requirement;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Yes,Maybe,Very negatively,Very negatively,It controls me,Maybe,,
2023/04/24 11:51:00 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Tablet",Somewhat comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Do school/course work;Job requirement;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,No,Somewhat negatively,Prefer not to say,I control it,Maybe,,
2023/04/24 11:52:21 PM GMT+1,25-34,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Extremely comfortable,10 hours or more,"Job requirement;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,No,Somewhat positively,Did not affected at all,I control it,Yes,,
2023/04/24 11:54:02 PM GMT+1,25-34,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,Maybe,Very positively,Somewhat negatively,It controls me,Maybe,,
2023/04/24 11:57:47 PM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop;Tablet;TV screen;Augmented/Virtual reality headset",Extremely comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Yes,Yes,Very negatively,Very negatively,It controls me,Maybe,,
2023/04/25 12:01:29 AM GMT+1,25-34,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Very comfortable,3-5 hours,"Job requirement;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Did not affected it at all,Maybe,No,Somewhat positively,Prefer not to say,I control it,Yes,,
2023/04/25 12:03:44 AM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer",Not comfortable at all,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Do school/course work;Shopping (Amazon, eBay etc..);Listening to music (Spotify, Soundcloud etc..)",Maybe,Somewhat negatively,Yes,Maybe,Did not affected at all,Did not affected at all,I control it,Maybe,,
2023/04/25 12:18:47 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop;TV screen",Extremely comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Yes,Very negatively,Somewhat negatively,It controls me,Yes,"Positively in a way that it definitely made everyone's life way easier, you have everything you need in a span of a single click. However, personally, it impacted me in many negative ways, such as lowering my attention span and desensitization because of constant social media usage ",
2023/04/25 12:20:03 AM GMT+1,25-34,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet",Very comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,Maybe,Somewhat positively,Did not affected at all,I control it,Maybe,,
2023/04/25 12:23:24 AM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Maybe,Maybe,Did not affected at all,Did not affected at all,I control it,Maybe,,
2023/04/25 12:26:32 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop;Augmented/Virtual reality headset",Extremely comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games",Maybe,Very negatively,Yes,No,Very positively,Did not affected at all,Prefer not to say,Maybe,,
2023/04/25 12:28:59 AM GMT+1,35-44,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Not comfortable at all,0-2 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..)",Yes,Somewhat positively,No,No,Did not affected at all,Somewhat positively,I control it,Maybe,,
2023/04/25 12:30:54 AM GMT+1,35-44,Male,Desktop Computer;Laptop;TV screen,Somewhat comfortable,3-5 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..)",Yes,Did not affected it at all,Maybe,No,Did not affected at all,Did not affected at all,I control it,No,,
2023/04/25 12:32:19 AM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..)",Somewhat comfortable,3-5 hours,"Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Did not affected it at all,Yes,No,Did not affected at all,Did not affected at all,I control it,Maybe,,
2023/04/25 12:33:14 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop;Tablet;TV screen;Augmented/Virtual reality headset",Extremely comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Yes,Maybe,Very negatively,Very negatively,It controls me,Yes,,
2023/04/25 12:35:33 AM GMT+1,25-34,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Maybe,Somewhat negatively,Very negatively,It controls me,Maybe,,
2023/04/25 12:40:18 AM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Yes,Very negatively,Somewhat negatively,It controls me,Maybe,,
2023/04/25 12:42:01 AM GMT+1,18-24,Male,Laptop,Somewhat comfortable,3-5 hours,"Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat positively,No,No,Very positively,Did not affected at all,I control it,Maybe,,
2023/04/25 12:43:21 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Yes,Somewhat negatively,Somewhat negatively,It controls me,Yes,,
2023/04/25 12:45:11 AM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer",Extremely comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Yes,Yes,Somewhat positively,Somewhat negatively,It controls me,Maybe,,
2023/04/25 12:46:10 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet;Augmented/Virtual reality headset",Extremely comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Shopping (Amazon, eBay etc..);Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Did not affected it at all,Yes,Maybe,Somewhat negatively,Somewhat negatively,It controls me,Maybe,,
2023/04/25 12:47:04 AM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer",Very comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,Maybe,Did not affected at all,Did not affected at all,I control it,Maybe,,
2023/04/25 12:48:28 AM GMT+1,25-34,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop",Extremely comfortable,9-10 hours,"Play video games;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Yes,Somewhat negatively,Somewhat negatively,It controls me,Yes,,
